2016-01-13T00:00:00Z,b'Hillary Clinton Races to Close Enthusiasm Gap With Bernie Sanders in Iowa',b'By PATRICK HEALY and YAMICHE ALCINDOR',"b'With voters mobbing Mr. Sanders at events in the state, exposing a disparity in passion for the two Democrats, Mrs. Clinton has gone on the attack and tried to energize supporters.'",1423,"['Presidential Election of 2016', 'Clinton, Hillary Rodham']"
2016-01-12T21:45:20Z,b'Hillary Clinton Releases Ad Supporting Obama&#8217;s Gun Control Efforts',b'By AMY CHOZICK',,240,"['Clinton, Hillary Rodham', 'Sanders, Bernard']"
2016-01-12T20:26:29Z,"b""Chelsea Clinton Stands Her Mother's Ground in New Hampshire""",b'By REUTERS',"b'U.S. Democratic presidential candidate Hillary Clinton cannot be in two places at once in the weeks before the first party-nominating contests in Iowa and New Hampshire, but she came close on Tuesday with daughter Chelsea Clinton&#8217;s campaign trail debut. '",443,NA
2016-01-12T19:37:15Z,b'Clinton Expands on Plan to Tax Wealthy as Sanders Gains in Polls',b'By REUTERS',b'U.S. Democratic presidential candidate Hillary Clinton on Tuesday expanded her plan to tax the wealthiest Americans by saying she would close tax-avoidance &#8220;loopholes&#8221; that allow investments to be routed through low-tax countries and put in tax-deferred retirement accounts.',352,NA
2016-01-12T19:31:41Z,"b'Hillary Clinton, a Surging Rival and the Return of the &#8216;Magic Wand&#8217;'",b'By MAGGIE HABERMAN',,273,"['Clinton, Hillary Rodham', 'Obama, Barack']"
2016-01-12T19:30:03Z,b'Ted Cruz Suggests Donald Trump Is Taking Cues From Democrats',b'By MATT FLEGENHEIMER and NICK CORASANITI',,887,"['Cruz, Ted', 'Trump, Donald J']"
2016-01-12T18:46:42Z,"b'Chelsea Clinton, Again Her Mother&#8217;s Surrogate, Takes Up the Fight Against Bernie Sanders'",b'By NICK CORASANITI',,539,"['Clinton, Chelsea', 'Clinton, Hillary Rodham']"
2016-01-12T17:06:21Z,b'Cruz Promises to Defend Gun Rights in NH Campaign Swing',b'By THE ASSOCIATED PRESS',"b'Ted Cruz on Tuesday returned to New Hampshire for the first time in months, promising conservative voters he\'ll protect their gun rights and several times invoking the state\'s ""Live Free or Die"" motto.'",285,NA
2016-01-12T16:48:12Z,"b""The Latest: Obama Takes 'One More Look at This Thing'""",b'By THE ASSOCIATED PRESS',"b""The latest on President Barack Obama's last State of the Union address. All times EST:""",3861,NA
2016-01-12T16:22:23Z,"b'Republican Cruz Rips Trump, Links Him to Clinton'",b'By REUTERS',"b'Republican presidential candidate Ted Cruz sought on Tuesday to link his rival Donald Trump to Democrat Hillary Clinton, saying it would make her supporters happy if the real estate mogul were to win the Republican nomination.'",304,NA
2016-01-12T14:37:47Z,b'Hillary Clinton Accuses Bernie Sanders of Not Standing Up to Gun Lobby',b'By PATRICK HEALY',,941,"['Clinton, Hillary Rodham', 'Sanders, Bernard']"
2016-01-12T14:27:01Z,"b""State Dept. To Review 29,000 Pages of Clinton Aide's Emails""",b'By THE ASSOCIATED PRESS',"b'The State Department has agreed to review 29,000 pages of emails from Huma Abedin, a close aide to Democratic presidential candidate Hillary Clinton, from their days at the State Department for possible public release under a new legal agreement with a conservative legal group. But even as Clinton presses her campaign, many of the emails would not be publicly released until six months after the election.'",524,NA
2016-01-12T14:08:20Z,b'Chelsea Clinton Campaigns for Hillary',b'By REUTERS',"b'Chelsea Clinton told an audience in Concord, N.H., that becoming a grandmother has made Hillary Clinton more determined.'",18,"['Clinton, Chelsea', 'Clinton, Hillary Rodham']"
2016-01-12T13:40:26Z,b'Hillary Clinton Gets Backing of Food Services Union',b'By AMY CHOZICK',,311,"['Clinton, Hillary Rodham', 'Sanders, Bernard']"
2016-01-12T12:20:58Z,"b'With Democratic Race Narrowing, Clinton Rips Into Sanders'",b'By THE ASSOCIATED PRESS',"b'Facing a narrowing primary contest, Hillary Clinton ripped into rival Bernie Sanders on Tuesday, saying the Vermont senator was offering unrealistic policies and overstating his anti-establishment credentials.'",1003,NA
2016-01-12T12:00:29Z,"b""Chelsea Clinton Visits New Hampshire Backing Mom's Campaign""",b'By THE ASSOCIATED PRESS',"b""Making her debut appearance in the 2016 presidential race, Chelsea Clinton pivoted between personal anecdotes and detailed policy points while campaigning for her mother Hillary Clinton in New Hampshire Tuesday ahead of the state's leadoff presidential primary.""",311,NA
2016-01-12T11:00:36Z,"b'Bernie Sanders Has Edge in Iowa and Widens New Hampshire Lead, Polls Find'",b'By ALAN RAPPEPORT',,648,"['Clinton, Hillary Rodham', ""O'Malley, Martin J""]"
2016-01-12T10:36:52Z,b'MoveOn Site Puts Its Backing Behind Bernie Sanders',b'By MAGGIE HABERMAN',,262,"['Clinton, Hillary Rodham', ""O'Malley, Martin J""]"
2016-01-12T08:52:09Z,b'Sanders Campaign Endorsed by MoveOn.org',b'By THE ASSOCIATED PRESS',"b'Democratic presidential candidate Bernie Sanders has won the endorsement of MoveOn.org, a grassroots organization that has been at the forefront of liberal causes.'",132,NA
2016-01-12T07:43:54Z,"b""Biden: Sanders Has 'Struck a Chord With Voters' in Race With Clinton""",b'By REUTERS',"b'U.S. Vice President Joe Biden praised Democratic presidential candidate Bernie Sanders for tapping into Americans&#8217; concerns about growing income inequality, potentially giving the Vermont senator a boost as he gains on rival Hillary Clinton weeks before the Iowa caucuses.'",567,NA
2016-01-12T07:00:22Z,"b'Poll Watch: Obama&#8217;s Gun Policies Are Popular, but Verdict Is Mixed on Other Issues'",b'By PETER BAKER and MEGAN THEE-BRENAN',,767,"['Obama, Barack', 'Gun Control']"
2016-01-12T06:30:16Z,b'Chelsea Clinton to Campaign in New Hampshire Amid Threat From Sanders',b'By NICK CORASANITI',,216,"['Clinton, Bill', 'Clinton, Chelsea']"
2016-01-12T03:41:22Z,"b'State of Union in 2016: Strong Job Market, Middling Economy'",b'By THE ASSOCIATED PRESS',b'President Barack Obama delivers his final State of the Union address on Tuesday night to a nation whose economy is far sturdier than it was when he took office in 2009.',862,NA
2016-01-12T03:26:14Z,b'Immigrant Raids Divide Obama From Democrats and Clinton',b'By THE ASSOCIATED PRESS',"b'Federal immigration raids have wrenched open new divides between President Barack Obama and his Democratic allies, including the woman who hopes to replace him, Hillary Clinton.'",852,NA
2016-01-12T03:20:00Z,"b""Reflecting on Obama's Presidency """,b'By THE ASSOCIATED PRESS',,2941,News
2016-01-12T01:11:53Z,"b'Obama Knocks Republicans for Anti-Muslim Rhetoric, Seeks to Set 2016 Tone'",b'By REUTERS',b'President Barack Obama knocked Republican presidential candidates for anti-Muslim rhetoric and accused critics on Tuesday of playing into the hands of Islamic State in a speech aimed at setting an optimistic tone for his last year in office.',724,NA
2016-01-12T00:21:53Z,b'Hillary Clinton Promises Not to Be &#8216;Deporter in Chief&#8217;',b'By ALAN RAPPEPORT',,572,"['Clinton, Hillary Rodham', 'Iowa']"
2016-01-12T00:00:00Z,"b'Your Tuesday Evening Briefing: David Bowie, Istanbul, Bernie Sanders'",b'By FINN COHEN and SANDRA STEVENSON',b'Here\xe2\x80\x99s what you need to know at the end of the day.',735,NA
2016-01-12T00:00:00Z,"b'Your Tuesday Briefing: Istanbul, Rupert Murdoch, David Bowie'",b'By ADEEL HASSAN',b'Here\xe2\x80\x99s what you need to know to start your day.',1079,NA
2016-01-12T00:00:00Z,b'Willie Horton\xe2\x80\x99s Heirs',b'By EMMA ROLLER',b'New ads from Donald Trump and Ted Cruz are part of a tradition that began with a race-baiting 1988 spot.',1408,"['Presidential Election of 2016', 'Political Advertising']"
2016-01-11T23:34:48Z,b'Clinton Calls for an End to U.S. Immigration Raids',b'By REUTERS',"b'Democratic presidential candidate Hillary Clinton called on Monday for an end to raids by U.S. officials to deport undocumented Central American families, saying they were divisive and sowing fear in immigrant communities.'",384,NA
2016-01-11T22:25:03Z,"b'Veep Biden Defends Bernie Sanders on Guns, Authenticity'",b'By THE ASSOCIATED PRESS',"b""Vice President Joe Biden described Democratic presidential hopeful Bernie Sanders on Monday as more authentic on economic inequality than Hillary Clinton, and he defended Sanders' record on gun control.""",578,NA
