2016-01-07T00:00:00Z,"b'In Iowa, Ted Cruz Savors Lead Role'",b'By JONATHAN MARTIN and MATT FLEGENHEIMER',"b'The Texas senator\xe2\x80\x99s campaign is building on an energized, growing coalition and a splintered opposition. Still, there\xe2\x80\x99s the Trump factor to be considered.'",1267,['Presidential Election of 2016']
2016-01-06T23:57:55Z,"b'Clinton, Sanders Aim for Victory in Nevada Caucuses'",b'By THE ASSOCIATED PRESS',"b'Hillary Clinton and Bernie Sanders battled for support among Nevada Democrats on Wednesday night, looking beyond the leadoff contests of Iowa and New Hampshire to a state that could play a pivotal role in the nomination fight.'",670,NA
2016-01-06T22:58:12Z,b'Joe Biden Says He Regrets Not Running Again for President',b'By MAGGIE HABERMAN',,261,"['Biden, Joseph R Jr']"
2016-01-06T22:18:10Z,b'Donald Trump to Speak at Liberty University',b'By MAGGIE HABERMAN',,240,"['Trump, Donald J']"
2016-01-06T22:11:04Z,b'Jeb Bush Finds a Few Words of Praise for Donald Trump',b'By ASHLEY PARKER',,748,"['Bush, Jeb']"
2016-01-06T22:10:10Z,"b'Donald Trump, With Overbooked Crowd, to Tread on Bernie Sanders&#8217;s Turf'",b'By TRIP GABRIEL',,324,NA
2016-01-06T21:16:22Z,b'Jeb Bush Rules Out Third-Party Run if Trump Wins Republican Nomination',b'By REUTERS',"b'U.S. Republican presidential candidate Jeb Bush on Wednesday ruled out a third-party candidacy should Donald Trump win the party\'s 2016 nomination but held tight to his belief that Trump is a ""jerk"" and not qualified to be president.'",444,NA
2016-01-06T20:49:51Z,"b""Bush Lauds Trump's Business Success, Sticks to 'Jerk' Line""",b'By THE ASSOCIATED PRESS',"b'Republican Jeb Bush actually had something nice to say Wednesday about his political nemesis Donald Trump, but he stands by his comment that the billionaire GOP presidential front runner is a ""jerk.""'",277,NA
2016-01-06T19:38:12Z,"b""Trump Says South Korea Pays 'Peanuts' for U.S. Troop Presence""",b'By REUTERS',"b'South Korea should pay the United States ""very substantially"" for maintaining 28,000 troops there to help defend it from the North, Republican presidential contender Donald Trump told CNN on Wednesday, a day after Pyongyang detonated a nuclear device.'",308,NA
2016-01-06T19:16:19Z,"b""Joe Biden on 2016 Decision: 'I Regret It Every Day'""",b'By THE ASSOCIATED PRESS',"b""You can take Joe Biden out of the presidential campaign, but you can't take the campaign out of Joe Biden.""",298,NA
2016-01-06T18:47:06Z,b'North Korea Nuclear Test Poses Sanctions Dilemma for Major Powers',b'By REUTERS',"b'U.S. presidential candidates and members of the U.S. Congress demanded more sanctions on North Korea on Wednesday after its latest nuclear test, but major powers will likely be reluctant to take the tough steps necessary to force Pyongyang to abandon its weapons program, former U.S. officials and analysts said.'",964,NA
2016-01-06T18:13:49Z,b'U.S. Judge Blocks Trump Testimony in Trademark Spat',b'By REUTERS',"b'Donald Trump can stay on the campaign trail and will not have to testify in a trademark dispute with an Internet marketing company, which a U.S. judge on Wednesday said was trying to ""harass"" the Republican presidential candidate.'",303,NA
2016-01-06T17:49:30Z,"b'You Asked, John Kasich Answered'",b'By THE EDITORS',,480,"['Kasich, John R']"
2016-01-06T17:43:48Z,"b""Obama to Focus Final State of Union on 'Big Things'""",b'By THE ASSOCIATED PRESS',"b'President Barack Obama says his final State of the Union address will focus on the ""big things"" he thinks will make the country stronger and more prosperous.'",431,NA
2016-01-06T17:38:57Z,b'&#8216;Allegiance&#8217; Announces Broadway Closing Date',b'By MICHAEL PAULSON',,266,"['Acito, Marc']"
2016-01-06T16:59:42Z,"b'Police Say Trump Issues 20k Tickets for 1,400-Seat VT Venue'",b'By THE ASSOCIATED PRESS',"b""Republican presidential candidate Donald Trump's campaign has issued 20,000 tickets for an event at a Burlington, Vermont, venue that has only 1,400 seats, city police said Wednesday.""",243,NA
2016-01-06T16:06:54Z,"b'You Asked, Donald Trump Answered'",b'By THE EDITORS',,190,"['Carter, Jimmy']"
2016-01-06T15:36:54Z,b'Cruz Says Canadian Birth Does Not Block Him From Presidency',b'By THE ASSOCIATED PRESS',"b'Texas Sen. Ted Cruz says an issue raised by GOP presidential rival Donald Trump about whether his Canadian birth compromises his eligibility to become president is ""quite straightforward and settled law.""'",134,NA
